# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.modify.entity.ms,1767720869611000000,1767720929612000000,14
workspaceModel.mutableEntityStorage.put.entity.ms,1767720869611000000,1767720929612000000,45
jps.module.iml.entities.serializer.save.entities.ms,1767720869611000000,1767720929612000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1767720869611000000,1767720929612000000,2
workspaceModel.delayed.project.synchronizer.sync.ms,1767720869611000000,1767720929612000000,1013
workspaceModel.orphan.listener.update.ms,1767720869611000000,1767720929612000000,3
jps.app.storage.content.writer.save.component.ms,1767720869611000000,1767720929612000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1767720869611000000,1767720929612000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1767720869611000000,1767720929612000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1767720869611000000,1767720929612000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1767720869611000000,1767720929612000000,1
workspaceModel.moduleBridge.before.changed.ms,1767720869611000000,1767720929612000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1767720869611000000,1767720929612000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1767720869611000000,1767720929612000000,615
jps.global.handle.before.change.events.ms,1767720869611000000,1767720929612000000,0
jps.app.storage.content.reader.load.component.ms,1767720869611000000,1767720929612000000,1
jps.library.entities.serializer.load.entities.ms,1767720869611000000,1767720929612000000,59
workspaceModel.mutableEntityStorage.remove.entity.ms,1767720869611000000,1767720929612000000,0
jps.global.initialize.library.bridges.ms,1767720869611000000,1767720929612000000,15
workspaceModel.mutableEntityStorage.entities.ms,1767720869611000000,1767720929612000000,0
workspaceModel.load.cache.from.file.ms,1767720869611000000,1767720929612000000,452
jps.apply.loaded.storage.ms,1767720869611000000,1767720929612000000,567
jps.project.serializers.load.ms,1767720869611000000,1767720929612000000,280
workspaceModel.mutableEntityStorage.replace.by.source.ms,1767720869611000000,1767720929612000000,30
jps.storage.jps.conf.reader.load.component.ms,1767720869611000000,1767720929612000000,47
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1767720869611000000,1767720929612000000,2
jps.artifact.entities.serializer.save.entities.ms,1767720869611000000,1767720929612000000,0
jps.facet.change.listener.process.change.events.ms,1767720869611000000,1767720929612000000,0
workspaceModel.global.apply.state.to.project.ms,1767720869611000000,1767720929612000000,4
jps.project.serializers.save.ms,1767720869611000000,1767720929612000000,2
jps.load.project.to.empty.storage.ms,1767720869611000000,1767720929612000000,440
jps.save.changed.project.entities.ms,1767720869611000000,1767720929612000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1767720869611000000,1767720929612000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1767720869611000000,1767720929612000000,2
jps.library.entities.serializer.save.entities.ms,1767720869611000000,1767720929612000000,0
jps.global.get.libraries.ms,1767720869611000000,1767720929612000000,0
jps.facet.change.listener.before.change.events.ms,1767720869611000000,1767720929612000000,0
jps.global.get.library.ms,1767720869611000000,1767720929612000000,0
workspaceModel.load.cache.metadata.from.file.ms,1767720869611000000,1767720929612000000,28
